Brand Name,Brand ID #,Brand Glossary Row
American Vintage,1,60
Carolina Zapf,2,155
E Land,3,514
Petit Bateau,4,1398
Monteau Girl,5,1227
Nabee,6,
Busy Bees,7,321
Miss B,8,1196
Three Hearts,9,
Rachel Riley,10,1496
Rolla Coster,11,
TF Lawrence,12,1713
Darcy Brown,13,455
Luigi Kids,14,
Kissy Kissy,15,889
Laranjiha,16,922
CPC,17,431
Sarah Louise,18,1562
Lucky Brand,19,1055
Nautica,20,1276
Tommy Hilfiger,21,1769
Baby Cz,22,155
Dani,23,453
Oscar De La Renta,24,1356
Baby Luigi,25,
Vineyard Vines,26,1839
Jeanine Johnsen,27,
Florence Eiseman,28,601
Issac Mizrahi,29,
Ralph Lauren,30,1502